# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
ken ding 	肯定	c=2 d=0.316637 t=6133
kong 	空	c=0 d=0.0594521 t=6133
kong qin 	空勤	c=1 d=1 t=2296
kong tiao 	空調	c=2 d=0.760626 t=6133
kong zhi 	控制	c=2 d=1.82283 t=2448
kong zhi qu 	控制區	c=3 d=1.53879 t=2605
kou 	口	c=4 d=1.01272 t=5442
kou gan 	口感	c=1 d=1 t=3282
kou hao 	口號	c=1 d=0.142987 t=6133
kou hong 	口紅	c=1 d=0.00232276 t=6133
kou qiang kui yang 	口腔潰瘍	c=1 d=1 t=1813
kou shi xin fei 	口是心非	c=1 d=1 t=5053
ku le 	哭了	c=1 d=1 t=1955
kua ping tai 	跨平臺	c=1 d=0.0277367 t=6133
kua yue 	跨越	c=1 d=0.99005 t=6133
kuai 	塊	c=6 d=0.472367 t=6133
kuai 	快	c=4 d=0.417233 t=6133
kuai dian 	快點	c=1 d=1 t=5847
kuai jian 	快件	c=1 d=1 t=5576
kuai lai 	快來	c=1 d=1 t=5844
kuai le 	快樂	c=1 d=1 t=3715
kuan fan 	寬泛	c=0 d=0.1 t=2850
kuan fan le 	寬泛了	c=1 d=1 t=2851
kuang 	框	c=2 d=1.042 t=3636
kui 	虧	c=2 d=0.861221 t=6133
kun 	困	c=1 d=0.280832 t=6133
kuo yi kuo yi 	闊噫闊噫	c=1 d=0.0893674 t=6133
la 	啦	c=1 d=1.09277 t=5245
la 	拉	c=3 d=0.119545 t=6133
la 	蠟	c=1 d=1 t=5850
la bi 	蠟筆	c=0 d=0.1 t=3324
la bi ke 	蠟筆可	c=1 d=1 t=3325
la dao 	拉倒	c=1 d=0.00209124 t=6133
la jiao 	辣椒	c=1 d=1 t=4791
la jin lai 	拉進來	c=1 d=0.396531 t=6133
la xiang 	蠟像	c=1 d=0.00591657 t=6133
lai 	來	c=15 d=0.44983 t=6133
lai lai lai 	來來來	c=1 d=1 t=3930
lai zhang 	來張	c=2 d=0.970446 t=6133
lan ya 	藍牙	c=1 d=0.132656 t=6133
lang 	琅	c=1 d=1 t=3382
lao 	老	c=3 d=0.0948935 t=6133
lao bei jing 	老北京	c=1 d=1 t=3804
lao gan ma 	老乾媽	c=1 d=1 t=4821
lao gong 	老公	c=1 d=0.00501663 t=6133
lao po 	老婆	c=0 d=0.0802519 t=6133
lao shi 	老師	c=0 d=0.1 t=4482
lao shuo 	老說	c=1 d=0.509156 t=6133
lao yi bei 	老一輩	c=1 d=1 t=5384
lao zhang 	老張	c=1 d=1 t=2838
le 	了	c=156 d=7.94808 t=6133
le 	嘞	c=1 d=0.0833254 t=6133
lei 	類	c=1 d=0.0321351 t=6133
lei si 	類似	c=1 d=1 t=5463
li 	裏	c=6 d=0.0260603 t=6133
li an 	李安	c=1 d=1 t=4371
li bai 	禮拜	c=2 d=0.907489 t=6133
li cang qu 	李滄區	c=1 d=0.222017 t=6133
li gang 	離港	c=1 d=0.00238732 t=6133
li gang lei 	離港類	c=2 d=0.0534447 t=6133
li hai 	厲害	c=1 d=1 t=3782
li hao 	李昊	c=2 d=0.652569 t=6133
li hui 	例會	c=0 d=0.019205 t=6133
li kai 	離開	c=1 d=1 t=3585
li ma 	立馬	c=1 d=0.263158 t=6133
li mian 	裏面	c=1 d=1.09005 t=3396
li ping 	李平	c=0 d=0.1 t=5995
li shi 	歷史	c=2 d=0.241714 t=6133
li shi 	離石	c=1 d=1 t=4919
li wu 	禮物	c=1 d=1 t=2176
li zi 	李子	c=1 d=1 t=3300
lia 	倆	c=1 d=1.08737 t=2016
lia zi er 	倆字兒	c=1 d=1 t=1990
lian 	蓮	c=0 d=0.0265803 t=6133
lian 	連	c=2 d=1.99005 t=5724
lian dong 	聯動	c=3 d=0.484119 t=6133
lian dong xi tong 	聯動系統	c=1 d=1 t=2651
lian he 	聯合	c=0 d=0.00138427 t=6133
lian he tiao shi 	聯合調試	c=2 d=0.0307352 t=6133
lian jie 	鏈接	c=2 d=1.95123 t=4194
lian luo fang shi 	聯絡方式	c=1 d=0.740818 t=6133
lian tiao 	聯調	c=1 d=0.0274607 t=6133
lian xi 	聯繫	c=1 d=1 t=4429
lian xi fang shi 	聯繫方式	c=1 d=1 t=3012
lian yi 	聯誼	c=1 d=0.104517 t=5630
liang 	兩	c=2 d=1.97531 t=4739
liang bei 	兩倍	c=2 d=1.00002 t=5093
liang ceng 	兩層	c=1 d=1 t=3290
liang ci 	兩次	c=1 d=1 t=5114
liang fen 	兩份	c=1 d=1 t=6032
liang ge 	兩個	c=3 d=0.543351 t=6133
liang ge zi 	兩個字	c=1 d=0.00382958 t=6133
liang mian 	兩面	c=1 d=0.250324 t=6133
liang ping 	兩瓶	c=1 d=1 t=2029
liang shuang 	兩雙	c=3 d=1.03596 t=6133
liao 	聊	c=1 d=1 t=3242
liao jie 	瞭解	c=2 d=1.98511 t=4139
liao jie yi xia 	瞭解一下	c=1 d=1 t=3928
lie 	裂	c=2 d=1.05784 t=4274
ling dao 	領導	c=2 d=0.150318 t=6133
ling shi 	零食	c=1 d=0.00292342 t=6133
ling wai 	另外	c=1 d=1 t=5904
liu cheng 	流程	c=1 d=1 t=5557
liu hai 	劉海	c=1 d=1 t=3918
liu shui 	流水	c=0 d=0.0433874 t=6133
liu yan 	留言	c=1 d=0.618783 t=6133
liu yi bo 	劉藝博	c=1 d=1 t=2996
liu zong 	劉宗	c=1 d=0.715338 t=6133
lo 	咯	c=2 d=0.129347 t=6133
long juan feng 	龍捲風	c=2 d=1.97531 t=3510
lu 	滷	c=1 d=1 t=2158
lu jing 	路徑	c=0 d=0.000775048 t=6133
lu lu xiu 	魯路修	c=1 d=0.38868 t=6133
lu qu 	錄取	c=3 d=2.08393 t=3171
lu xian 	路線	c=1 d=0.19205 t=6133
lu yong 	錄用	c=1 d=1.00007 t=4467
lu yong tong zhi 	錄用通知	c=3 d=1.65051 t=5986
luan ma 	亂碼	c=6 d=5.92568 t=2837
lun 	論	c=1 d=1 t=3944
lun hua 	輪滑	c=1 d=1 t=3679
lun wen 	論文	c=5 d=3.10934 t=3211
luo ji 	邏輯	c=1 d=1 t=5050
luo lie 	羅列	c=1 d=1 t=3618
luo zhao 	裸照	c=1 d=1 t=4031
lv 	率	c=0 d=0.1 t=4458
lv ke 	旅客	c=1 d=1 t=2314
lv xing 	旅行	c=2 d=1.95123 t=5138
lv yong 	率用	c=1 d=1 t=4544
lv yong tong zhi 	率用通知	c=1 d=1 t=4459
ma 	嗎	c=38 d=2.65665 t=6133
ma 	嘛	c=4 d=1.58642 t=5334
ma 	罵	c=2 d=0.0175975 t=6133
ma 	馬	c=1 d=1 t=4981
ma jie 	馬姐	c=2 d=1.76338 t=2824
ma li 	瑪麗	c=0 d=0.0265803 t=6133
ma li lian 	瑪麗蓮	c=1 d=0.267135 t=6133
ma ma 	媽媽	c=0 d=0.1 t=5762
ma shang 	馬上	c=1 d=0.292293 t=6133
ma ti 	馬蹄	c=1 d=0.112478 t=6133
ma wei 	馬尾	c=0 d=0.1 t=4978
mai 	買	c=12 d=1.16919 t=6133
mai bu qi 	買不起	c=1 d=0.2334 t=6133
mai dao 	買到	c=1 d=1 t=4931
mai piao 	買票	c=1 d=0.0739033 t=6133
man 	慢	c=1 d=0.00369788 t=6133
man dong zuo 	慢動作	c=2 d=1.99005 t=2137
man man 	慢慢	c=1 d=1 t=5329
man xin 	蠻信	c=1 d=1 t=5387
mang 	忙	c=0 d=0.1 t=5705
mang gong zuo 	忙工作	c=1 d=1 t=5706
mang guo 	芒果	c=1 d=1 t=3929
me 	麼	c=11 d=0.769456 t=6133
mei 	沒	c=21 d=0.680305 t=6133
mei 	美	c=5 d=0.781022 t=6133
mei a 	沒啊	c=1 d=1 t=4894
mei ban fa 	沒辦法	c=1 d=1 t=5208
mei chu 	沒出	c=0 d=0.1 t=3095
mei ci 	每次	c=1 d=1 t=3622
mei fa 	沒法	c=1 d=1 t=4591
mei geng xin 	沒更新	c=1 d=0.946485 t=6133
mei geng xin 	美更新	c=1 d=0.941765 t=6133
mei guo qu 	沒過去	c=1 d=1 t=1975
mei hui fu 	沒回覆	c=1 d=1 t=6097
mei ji tian 	沒幾天	c=1 d=1 t=4967
mei jian 	沒見	c=1 d=0.585669 t=6133
mei jian dao 	沒見到	c=1 d=1 t=6103
mei jin 	沒勁	c=1 d=0.366045 t=6133
mei jue de 	沒覺得	c=1 d=1 t=4632
mei kan dao 	沒看到	c=1 d=1 t=3547
mei kong 	沒空	c=1 d=1 t=5167
mei le 	沒了	c=2 d=0.891598 t=6133
mei li 	美麗	c=2 d=0.185579 t=6133
mei qu guo 	沒去過	c=1 d=1 t=4636
mei ren 	沒人	c=2 d=1.01624 t=3049
mei sha 	沒啥	c=2 d=1.03966 t=5129
mei sha wen ti 	沒啥問題	c=1 d=1 t=4945
mei shi 	沒事	c=2 d=1.79852 t=4563
mei shi er 	沒事兒	c=1 d=1 t=2752
mei shuo 	沒說	c=1 d=1 t=4533
mei tian 	每天	c=1 d=0.694197 t=6133
mei wan guo 	沒玩過	c=1 d=1 t=3686
mei wen hua 	沒文化	c=1 d=0.45612 t=6133
mei wen ti 	沒問題	c=1 d=1 t=2755
mei xia 	沒下	c=1 d=0.529935 t=6133
mei xin qing 	沒心情	c=1 d=1 t=3238
mei yan 	美顏	c=1 d=0.83527 t=6133
mei ye 	每頁	c=1 d=1 t=2150
mei yi ge 	每一個	c=1 d=1 t=4885
mei you 	沒有	c=17 d=0.527292 t=6133
mei zen me 	沒怎麼	c=1 d=1 t=5079
mei zhun 	沒準	c=1 d=1 t=4606
mei zi 	妹子	c=2 d=1.00631 t=2920
men 	門	c=1 d=0.579842 t=6133
men dian 	門店	c=1 d=1 t=2280
men jin 	門禁	c=3 d=1.94254 t=2660
men jin guan li 	門禁管理	c=2 d=1.43171 t=2709
men jin xi tong 	門禁系統	c=2 d=1.19014 t=2586
meng 	猛	c=0 d=0.0311923 t=6133
meng dao 	夢到	c=1 d=1 t=4407
meng ge ma li 	蒙哥馬利	c=1 d=0.254107 t=6133
meng liao 	猛料	c=1 d=1 t=5846
meng lu 	夢露	c=1 d=0.268474 t=6133
meng ru hu 	猛如虎	c=1 d=0.313486 t=6133
mi fan 	米飯	c=1 d=1 t=4850
mi ma 	密碼	c=1 d=1 t=4095
mian 	麪	c=2 d=0.0271172 t=6133
mie 	咩	c=1 d=1 t=4003
ming bai 	明白	c=1 d=1 t=5014
ming ju 	名句	c=1 d=0.384812 t=6133
ming ming 	明明	c=1 d=1 t=3950
ming nian 	明年	c=1 d=1 t=2808
ming que 	明確	c=1 d=0.197899 t=6133
ming tian 	明天	c=5 d=1.7179 t=6133
ming xian 	明顯	c=1 d=1 t=3478
ming zi 	名字	c=2 d=1.00003 t=5259
mo bu shi 	莫不是	c=1 d=0.00670434 t=6133
mo hu 	模糊	c=0 d=0.1 t=1936
mo jie zuo 	摩羯座	c=1 d=1 t=4906
mo li 	魔力	c=1 d=1 t=1994
mo ni 	模擬	c=1 d=0.786628 t=6133
mo shi 	模式	c=1 d=1 t=3586
mu ban 	模板	c=6 d=0.0872429 t=6133
mu biao 	目標	c=1 d=1 t=5656
mu lu 	目錄	c=1 d=1 t=3872
mu qian 	目前	c=2 d=1 t=5869
mu zi 	木子	c=1 d=1 t=4393
na 	那	c=17 d=0.997767 t=6133
na bian 	那邊	c=1 d=1 t=5364
na ceng ceng 	那層層	c=1 d=1 t=4713
na dao 	拿刀	c=1 d=1 t=3966
na er 	哪兒	c=4 d=0.227638 t=6133
na er hao 	哪兒好	c=1 d=1 t=4634
na fen 	那份	c=1 d=1 t=4054
na ge 	那個	c=6 d=0.644088 t=6133
na jiu 	那就	c=1 d=0.327915 t=6133
na li 	哪裏	c=4 d=1.00003 t=5699
na me 	那麼	c=3 d=0.228779 t=6133
na shan 	那扇	c=1 d=1 t=5753
na shi 	那是	c=2 d=1.64082 t=4128
na tian 	那天	c=1 d=1 t=4537
na xie 	哪些	c=1 d=1 t=5561
na yang 	哪樣	c=1 d=1 t=2243
na you 	哪有	c=1 d=1 t=5180
na zhang 	哪張	c=1 d=1 t=1875
na zhang 	那張	c=1 d=1 t=1882
nai he 	奈何	c=1 d=1 t=5725
nan 	難	c=2 d=0.114178 t=6133
nan dao 	難道	c=1 d=0.360595 t=6133
nan fang 	南方	c=0 d=0.1 t=4683
nan fang cai 	南方菜	c=1 d=1 t=4684
nan hai er 	男孩兒	c=0 d=0.1 t=5623
nan jiang 	南疆	c=1 d=1 t=5074
nan nv 	男女	c=1 d=1 t=2232
nan ren 	男人	c=1 d=1 t=4059
nan ti 	難題	c=0 d=0.0264477 t=6133
nan xing 	男性	c=1 d=0.00554421 t=6133
nang kuo 	囊括	c=1 d=1 t=5871
nao 	鬧	c=1 d=1 t=2242
nao chou 	腦抽	c=1 d=1 t=5028
nao chou 	鬧抽	c=1 d=1 t=5027
ne 	呢	c=1 d=1 t=4814
nei 	內	c=2 d=0.304078 t=6133
nei fen mi 	內分泌	c=1 d=0.00302755 t=6133
nei ku 	內褲	c=1 d=0.00677171 t=6133
nei rong 	內容	c=12 d=0.331128 t=6133
nei rong na ge 	內容那個	c=1 d=1 t=4245
nei zeng gao 	內增高	c=1 d=0.364219 t=6133
neng 	能	c=10 d=0.807381 t=6133
neng chi 	能吃	c=2 d=0.301194 t=6133
neng fou 	能否	c=1 d=1 t=4752
neng li 	能力	c=0 d=0.0444858 t=6133
neng qing 	能請	c=1 d=0.00204983 t=6133
neng xing 	能行	c=1 d=1 t=2901
neng zhao dao 	能找到	c=1 d=1 t=3217
ni 	你	c=155 d=6.80985 t=6133
ni 	倪	c=2 d=1.00002 t=5608
ni 	擬	c=2 d=0.075799 t=6133
ni jie 	倪姐	c=1 d=1 t=3453
ni lao po 	你老婆	c=1 d=0.806541 t=6133
ni lia 	你倆	c=2 d=0.823631 t=6133
ni ma 	你媽	c=0 d=0.0995012 t=6133
ni ma ma 	你媽媽	c=1 d=1 t=5763
ni ma si le 	你媽死了	c=1 d=1 t=6133
ni mai 	你買	c=1 d=0.225373 t=6133
ni men 	你們	c=9 d=1.13419 t=6133
ni shi bu shi 	你是不是	c=1 d=1 t=1918
ni ye 	你也	c=1 d=1 t=3175
ni zong 	倪總	c=3 d=1.99007 t=5621
nian 	唸	c=5 d=1.00105 t=5235
nian 	年	c=15 d=1.34685 t=6133
nian di 	年底	c=1 d=1 t=2821
nian ji 	年紀	c=1 d=1 t=4401
nian tou 	念頭	c=1 d=1 t=5813
nian xin 	年薪	c=1 d=1 t=2096
niao fang 	鳥防	c=1 d=1 t=2381
niao qing 	鳥情	c=3 d=0.666977 t=6133
niao qing yu ce 	鳥情預測	c=1 d=1 t=2376
niao qing zi liao 	鳥情資料	c=1 d=1 t=2374
nin 	您	c=4 d=0.746638 t=6133
niu 	扭	c=0 d=0.1 t=3957
niu bi 	牛逼	c=0 d=0.1 t=3746
niu nai 	牛奶	c=1 d=1 t=1825
niu tou 	牛頭	c=1 d=1 t=3260
niu yi niu 	扭一扭	c=1 d=1 t=3958
nong guo 	弄過	c=1 d=1 t=3052
nuan nuan da 	暖暖噠	c=1 d=1 t=4130
nv hai zi 	女孩子	c=1 d=0.00701294 t=6133
nv hong 	女紅	c=1 d=0.00311976 t=6133
nv ren 	女人	c=4 d=0.276113 t=6133
nv sheng 	女生	c=3 d=0.0132935 t=6133
nv xing 	女性	c=0 d=0.000516939 t=6133
nv xing di wei 	女性地位	c=1 d=0.00519531 t=6133
nv you 	女友	c=1 d=1 t=4992
nv zhu 	女主	c=2 d=1.99005 t=2055
nv zhuang 	女裝	c=0 d=0.000618889 t=6133
nv zhuang da lao 	女裝大佬	c=1 d=0.00621992 t=6133
o 	哦	c=6 d=1.00533 t=5601
ou er 	偶爾	c=3 d=0.16436 t=6133
pa 	怕	c=6 d=0.0378215 t=6133
pa chong 	爬蟲	c=1 d=1 t=3345
pai 	拍	c=1 d=0.980199 t=6133
pai 	派	c=1 d=1 t=6111
pai gu 	排骨	c=1 d=0.305746 t=6133
pai zhao 	拍照	c=1 d=1 t=1916
pan 	盤	c=1 d=0.0513033 t=6133
pang bian 	旁邊	c=1 d=1 t=3286
pang xie 	螃蟹	c=1 d=1 t=2915
pao 	泡	c=0 d=0.1 t=3958
pao 	跑	c=1 d=0.0596059 t=6133
pao yi pao 	泡一泡	c=1 d=1 t=3959
pei dian 	配電	c=0 d=0.1 t=2449
pei liao 	配料	c=1 d=0.927743 t=6133
pei shang 	配上	c=1 d=1 t=2080
pei xun 	培訓	c=3 d=2.99612 t=2804
pei xun ci shu 	培訓次數	c=1 d=1 t=2802
pei xun ji ci 	培訓幾次	c=1 d=1 t=2777
pei xun shi jian 	培訓事件	c=1 d=1 t=2805
pei yin 	配音	c=1 d=1 t=2127
pei zhi 	配置	c=5 d=0.0339245 t=6133
peng you 	朋友	c=4 d=1.1728 t=6133
peng you quan 	朋友圈	c=1 d=1 t=5320
pi 	皮	c=1 d=1 t=5768
pi dai 	皮帶	c=1 d=1 t=2892
pi gu 	屁股	c=0 d=0.000687406 t=6133
pi gu le 	屁股了	c=1 d=0.00690851 t=6133
pi pei 	匹配	c=0 d=0.1 t=3620
pi pei xiang 	匹配項	c=2 d=1.9802 t=3625
pi xie 	皮鞋	c=1 d=0.343009 t=6133
pi xie 	辟邪	c=1 d=1 t=1895
pi yang 	皮癢	c=1 d=1 t=5378
pian 	騙	c=1 d=1 t=4874
pian jian 	偏見	c=1 d=1 t=4897
piao 	嫖	c=2 d=0.620551 t=6133
pin jie 	拼接	c=8 d=2.50793 t=2652
ping 	萍	c=1 d=1 t=5898
ping ding 	評定	c=2 d=1.47765 t=2715
ping ding gong neng 	評定功能	c=1 d=1 t=2361
ping gu 	評估	c=4 d=0.822835 t=6133
ping guo 	蘋果	c=1 d=1 t=2153
ping jia 	評價	c=0 d=0.0843665 t=6133
ping tai 	平臺	c=6 d=0.257599 t=6133
ping tai lei 	平臺類	c=1 d=1 t=2826
po jie 	破解	c=1 d=1 t=5457
pu tong hua 	普通話	c=1 d=1 t=1842
qi 	七	c=2 d=1.85214 t=5891
qi 	器	c=1 d=1 t=4750
qi 	期	c=0 d=0.1 t=5181
qi fu 	欺負	c=1 d=1 t=4951
qi shi 	其實	c=6 d=0.360595 t=6133
qi ta 	其他	c=5 d=0.390307 t=6133
qi ta ren 	其他人	c=1 d=1 t=3771
qi xiang 	氣象	c=0 d=0.1 t=2440
qi xiang cai ji 	氣象採集	c=2 d=1.28224 t=2694
qi ye 	企業	c=1 d=1 t=4137
qi you 	汽油	c=1 d=0.0173355 t=6133
qi yu 	其餘	c=1 d=1 t=3908
qian 	前	c=4 d=1.04113 t=6133
qian 	錢	c=1 d=0.0561347 t=6133
qian ban 	前半	c=0 d=0.000211225 t=6133
qian ban ju 	前半句	c=1 d=0.00212284 t=6133
qian cao 	淺草	c=1 d=0.110251 t=6133
qian dao 	簽到	c=0 d=0.0501576 t=6133
qian dao biao 	簽到表	c=2 d=1.01325 t=6133
qian duan 	前端	c=3 d=2.21395 t=2637
qian guo 	簽過	c=0 d=0.1 t=3175
qian guo zi 	簽過字	c=1 d=1 t=3176
qian hou 	前後	c=1 d=1 t=5049
qian ji tian 	前幾天	c=1 d=1 t=4548
qian ze 	譴責	c=1 d=1 t=5841
qiang lie 	強烈	c=1 d=1 t=5840
qiang qiu 	槍球	c=2 d=1.08673 t=2958
qiang ruo dian 	強弱電	c=6 d=5.46679 t=5532
qiang zhi 	強制	c=1 d=1 t=3987
qiao 	巧	c=0 d=0.0666977 t=6133
qiao 	橋	c=1 d=1 t=5726
qie huan 	切換	c=1 d=1 t=2130
qie shen 	妾身	c=1 d=0.113042 t=6133
qin di 	琴帝	c=2 d=0.292482 t=6133
qing 	卿	c=1 d=1 t=2776
qing 	情	c=0 d=0.0371577 t=6133
qing 	請	c=3 d=0.0238983 t=6133
qing ai 	情愛	c=0 d=0.0371577 t=6133
qing bo 	傾波	c=1 d=1 t=2771
qing cha shou 	請查收	c=3 d=0.189193 t=6133
qing chu 	清楚	c=1 d=0.726149 t=6133
qing dao 	青島	c=9 d=0.641217 t=6133
qing ge ye dai 	請各業代	c=1 d=1 t=4223
qing jia 	請假	c=2 d=0.00201931 t=6133
qing jie neng yuan 	清潔能源	c=1 d=0.625002 t=6133
qing kuang 	情況	c=4 d=0.879948 t=6133
qing qing ai ai 	情情愛愛	c=1 d=0.373439 t=6133
qing wei 	輕微	c=2 d=0.0170668 t=6133
qiong 	窮	c=1 d=0.00470089 t=6133
qiu 	求	c=1 d=1 t=4078
qiu 	球	c=0 d=0.1 t=3352
qiu mi 	球迷	c=1 d=0.509156 t=6133
qu 	區	c=1 d=0.293758 t=6133
qu 	去	c=30 d=1.56093 t=6133
qu ba 	去把	c=2 d=0.364219 t=6133
qu ba qu ba 	去吧去吧	c=1 d=1 t=1887
qu diao 	去掉	c=1 d=1 t=5786
qu gan shou 	去感受	c=1 d=1 t=3523
qu guo 	去過	c=1 d=0.179964 t=6133
qu nian 	去年	c=2 d=0.0620385 t=6133
qu nuan 	取暖	c=1 d=0.628135 t=6133
qu yu 	區域	c=3 d=0.634448 t=6133
qu yu jing kong fen xi 	區域淨空分析	c=1 d=1 t=2575
qu zheng 	取證	c=1 d=0.588605 t=6133
quan 	全	c=1 d=1 t=2430
quan bu 	全部	c=1 d=0.29671 t=6133
quan jing 	全景	c=11 d=4.24306 t=2652
quan jing pin jie 	全景拼接	c=1 d=1 t=2653
quan jing shi pin 	全景視頻	c=1 d=1 t=2489
quan ti 	全體	c=1 d=1 t=2547
quan wen 	全文	c=1 d=1 t=3093
quan xin 	全新	c=1 d=1 t=3855
que 	缺	c=1 d=1 t=2917
que ban 	雀斑	c=1 d=1 t=1922
que ding 	確定	c=3 d=1.91422 t=5529
que shi 	確實	c=0 d=0.1 t=3140
que shi mei you 	確實沒有	c=1 d=1 t=3141
que yu 	確喻	c=0 d=0.1 t=5083
que yue 	雀躍	c=1 d=1 t=5085
qun 	羣	c=8 d=0.399932 t=6133
qun li 	羣裏	c=2 d=0.00634555 t=6133
qun liao 	羣聊	c=1 d=1 t=4212
qun you 	羣友	c=1 d=1 t=5835
qun zhu 	羣住	c=2 d=0.127856 t=6133
qun zi 	裙子	c=2 d=1.09489 t=6133
ran hou 	然後	c=6 d=0.0288243 t=6133
rang 	讓	c=5 d=0.332296 t=6133
rang ren 	讓人	c=1 d=1 t=3332
rao 	繞	c=0 d=0.000226541 t=6133
rao jin qu 	繞進去	c=1 d=0.00227677 t=6133
re 	熱	c=1 d=0.341298 t=6133
re bu qi 	惹不起	c=2 d=1.03112 t=6133
re nao 	熱鬧	c=1 d=1 t=5645
ren 	人	c=12 d=0.322711 t=6133
ren cai 	人才	c=0 d=0.0308819 t=6133
ren cai jiao liu zhong xin 	人才交流中心	c=1 d=0.310367 t=6133
ren kou 	人口	c=1 d=0.479505 t=6133
ren li 	人力	c=1 d=1 t=2969
ren qi 	人氣	c=1 d=0.348192 t=6133
ren sheng 	人生	c=1 d=1.02357 t=5263
ren sheng ying jia 	人生贏家	c=1 d=1 t=4975
ren shi 	認識	c=0 d=0.1 t=4603
ren shou 	忍受	c=1 d=1 t=2207
ren shu 	人數	c=1 d=1 t=5774
ren yan 	人眼	c=0 d=0.1 t=2061
ren yan li 	人眼裏	c=1 d=1 t=2062
ren yi ren 	忍一忍	c=1 d=1 t=3310
ren yuan 	人員	c=2 d=0.629229 t=6133
ren yuan guan li 	人員管理	c=1 d=1 t=2301
ren yuan zheng jian 	人員證件	c=1 d=0.554327 t=6133
reng 	扔	c=1 d=1 t=3997
ri 	日	c=9 d=0.935537 t=6133
ri ben 	日本	c=6 d=1.90261 t=6133
ri chang 	日常	c=0 d=0.0771052 t=6133
ri chang zhi shou 	日常徵收	c=1 d=0.774916 t=6133
ri qi 	日期	c=1 d=0.900325 t=6133
ri zhi 	日誌	c=0 d=0.0657047 t=6133
ri zhi ji lu 	日誌記錄	c=2 d=0.66034 t=6133
rong he 	融合	c=1 d=1 t=2457
rong yi 	容易	c=3 d=1.65227 t=4949
rou 	肉	c=0 d=0.0116484 t=6133
ru 	入	c=1 d=0.0539338 t=6133
ru 	如	c=0 d=0.0433874 t=6133
ru guo 	如果	c=7 d=0.0131079 t=6133
ru he 	如何	c=2 d=1.22313 t=3882
ru hu 	如虎	c=0 d=0.0311923 t=6133
ru kou 	入口	c=1 d=1 t=4649
ru liu shui 	如流水	c=1 d=0.436049 t=6133
ru qin 	入侵	c=2 d=0.087211 t=6133
ru qin fang fan 	入侵防範	c=1 d=0.436049 t=6133
ru qin tan ce gong neng 	入侵探測功能	c=1 d=0.440432 t=6133
ru you 	如有	c=1 d=1 t=5512
ru zhu 	入住	c=1 d=1 t=5244
ruan 	軟	c=0 d=0.1 t=4748
ruan jian 	軟件	c=16 d=2.21193 t=6133
ruan jian shou quan 	軟件授權	c=2 d=0.139457 t=6133
ruan jian xi tong 	軟件系統	c=3 d=0.136695 t=6133
ruan jie ma 	軟解碼	c=1 d=1 t=4749
ruan jin 	軟禁	c=1 d=1 t=5739
ruan lian jie 	軟連接	c=1 d=1 t=3670
ruo 	若	c=1 d=1 t=5525
ruo dian 	弱點	c=1 d=0.275271 t=6133
san 	三	c=1 d=1 t=4385
san bei 	三倍	c=1 d=1 t=5098
san ge 	三個	c=1 d=0.0152985 t=6133
san ji 	三級	c=3 d=0.156453 t=6133
san nian 	三年	c=2 d=1.00409 t=5729
san sang 	三喪	c=1 d=1 t=3976
san wei 	三維	c=2 d=0.609571 t=6133
sang na 	桑拿	c=0 d=0.1 t=3562
sao miao 	掃描	c=0 d=0.0546074 t=6133
se jie 	色戒	c=1 d=1 t=4370
sha 	傻	c=1 d=1 t=4404
sha 	啥	c=8 d=0.414417 t=6133
sha bi 	傻逼	c=1 d=1 t=5326
sha he shang 	沙和尚	c=1 d=1 t=2157
sha shang li 	殺傷力	c=1 d=1 t=2234
sha shi hou 	啥時候	c=2 d=0.107528 t=6133
shan chang 	擅長	c=0 d=0.0212248 t=6133
shan chu 	刪除	c=3 d=2.96536 t=3873
shan ge 	山歌	c=1 d=1 t=2221
shan xi 	山西	c=1 d=1 t=6044
shang 	上	c=4 d=0.852272 t=6133
shang 	傷	c=0 d=0.1 t=4901
shang 	尚	c=2 d=1.96561 t=6100
shang ban 	上班	c=2 d=0.786628 t=6133
shang bao 	上報	c=0 d=0.158909 t=6133
shang bao guan li 	上報管理	c=1 d=0.802519 t=6133
shang bu qi 	傷不起	c=1 d=1 t=4902
shang chuan 	上傳	c=3 d=2.13468 t=3146
shang ci 	上次	c=3 d=0.995012 t=6133
shang di 	上帝	c=1 d=0.00546167 t=6133
shang ding 	商定	c=2 d=1.99501 t=5542
shang hui 	上回	c=1 d=0.0314298 t=6133
shang liang 	商量	c=2 d=0.0805119 t=6133
shang mian 	上面	c=3 d=1.73304 t=3666
shang tou 	上投	c=0 d=0.1 t=3325
shang wu 	上午	c=1 d=1 t=5611
shang ye ban 	上夜班	c=1 d=1 t=4638
shang zhou ri 	上週日	c=1 d=0.546074 t=6133
shao 	少	c=3 d=0.00379149 t=6133
shao 	燒	c=1 d=1 t=5140
shao nian 	少年	c=2 d=1.99501 t=6110
shao qian 	燒錢	c=1 d=1 t=5139
she bei 	設備	c=5 d=0.0606069 t=6133
she bu de 	捨不得	c=2 d=0.0934807 t=6133
she cao 	蛇草	c=0 d=0.1 t=3810
she cao shui 	蛇草水	c=2 d=1.96561 t=3818
she ji 	設計	c=1 d=1 t=5479
she ji yuan 	設計院	c=1 d=1 t=5481
